,week,gameId,possessionTeam,playType,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,passResult,offensePlayResult,homeTeam,guestTeam,matches
18,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,10,PHI,ATL,"[PHI , ATL]"
19,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,6,PHI,ATL,"[PHI , ATL]"
20,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,C,10,PHI,ATL,"[PHI , ATL]"
21,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,3,PHI,ATL,"[PHI , ATL]"
22,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
23,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,10,PHI,ATL,"[PHI , ATL]"
24,1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 3 TE, 1 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,C,22,PHI,ATL,"[PHI , ATL]"
25,1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,8,PHI,ATL,"[PHI , ATL]"
26,1,2018090600,ATL,play_type_pass,PISTOL,"2 RB, 0 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
27,1,2018090600,ATL,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,S,-9,PHI,ATL,"[PHI , ATL]"
28,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
29,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,4,PHI,ATL,"[PHI , ATL]"
30,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,7,PHI,ATL,"[PHI , ATL]"
31,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
32,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
33,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,13,PHI,ATL,"[PHI , ATL]"
34,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
35,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,7,PHI,ATL,"[PHI , ATL]"
36,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
37,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
38,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
39,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,4,PHI,ATL,"[PHI , ATL]"
40,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,8,PHI,ATL,"[PHI , ATL]"
41,1,2018090600,PHI,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
42,1,2018090600,PHI,play_type_pass,EMPTY,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,0,PHI,ATL,"[PHI , ATL]"
43,1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 3 TE, 1 WR",8.0,5.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,C,4,PHI,ATL,"[PHI , ATL]"
44,1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,3.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
45,1,2018090600,ATL,play_type_pass,EMPTY,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
46,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",2.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,6,PHI,ATL,"[PHI , ATL]"
47,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,5.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,C,4,PHI,ATL,"[PHI , ATL]"
48,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,C,5,PHI,ATL,"[PHI , ATL]"
49,1,2018090600,PHI,play_type_pass,EMPTY,"1 RB, 2 TE, 2 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
50,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",DESIGNED_ROLLOUT_RIGHT,C,15,PHI,ATL,"[PHI , ATL]"
51,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
52,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,18,PHI,ATL,"[PHI , ATL]"
53,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,15,PHI,ATL,"[PHI , ATL]"
54,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
55,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
56,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",SCRAMBLE,I,0,PHI,ATL,"[PHI , ATL]"
57,1,2018090600,ATL,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
58,1,2018090600,ATL,play_type_pass,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
59,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,6.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
60,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,5,PHI,ATL,"[PHI , ATL]"
61,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,7.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,IN,0,PHI,ATL,"[PHI , ATL]"
62,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,IN,0,PHI,ATL,"[PHI , ATL]"
63,1,2018090600,ATL,play_type_pass,I_FORM,"1 RB, 2 TE, 2 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,18,PHI,ATL,"[PHI , ATL]"
64,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
65,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,-5,PHI,ATL,"[PHI , ATL]"
66,1,2018090600,ATL,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,S,-3,PHI,ATL,"[PHI , ATL]"
67,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",3.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,14,PHI,ATL,"[PHI , ATL]"
68,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,2,PHI,ATL,"[PHI , ATL]"
69,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
70,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,9,PHI,ATL,"[PHI , ATL]"
71,1,2018090600,PHI,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,6,PHI,ATL,"[PHI , ATL]"
72,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,6,PHI,ATL,"[PHI , ATL]"
73,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,36,PHI,ATL,"[PHI , ATL]"
74,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
75,1,2018090600,ATL,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",SCRAMBLE_ROLLOUT_LEFT,S,-7,PHI,ATL,"[PHI , ATL]"
76,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,18,PHI,ATL,"[PHI , ATL]"
77,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,9,PHI,ATL,"[PHI , ATL]"
78,1,2018090600,ATL,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,S,-7,PHI,ATL,"[PHI , ATL]"
79,1,2018090600,ATL,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,C,10,PHI,ATL,"[PHI , ATL]"
80,1,2018090600,ATL,play_type_pass,PISTOL,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",SCRAMBLE_ROLLOUT_RIGHT,I,0,PHI,ATL,"[PHI , ATL]"
81,1,2018090600,ATL,play_type_pass,EMPTY,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
82,1,2018090600,ATL,play_type_pass,EMPTY,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
83,1,2018090600,ATL,play_type_pass,EMPTY,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 1 LB, 6 DB",TRADITIONAL,I,0,PHI,ATL,"[PHI , ATL]"
84,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,5,CLE,PIT,"[CLE , PIT]"
85,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,6.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
86,1,2018090901,CLE,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,4.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,C,1,CLE,PIT,"[CLE , PIT]"
87,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,5.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
88,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"2 DL, 3 LB, 6 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
89,1,2018090901,PIT,play_type_pass,SINGLEBACK,"2 RB, 2 TE, 1 WR",9.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,C,12,CLE,PIT,"[CLE , PIT]"
90,1,2018090901,PIT,play_type_pass,SHOTGUN,"0 RB, 1 TE, 4 WR",5.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
91,1,2018090901,PIT,play_type_pass,EMPTY,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 4 LB, 5 DB",TRADITIONAL,C,0,CLE,PIT,"[CLE , PIT]"
92,1,2018090901,CLE,play_type_sack,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 4 LB, 4 DB",SCRAMBLE,S,-5,CLE,PIT,"[CLE , PIT]"
93,1,2018090901,CLE,play_type_pass,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,4.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
94,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"2 DL, 3 LB, 6 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
95,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,6.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
96,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
97,1,2018090901,PIT,play_type_pass,EMPTY,"0 RB, 1 TE, 4 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,27,CLE,PIT,"[CLE , PIT]"
98,1,2018090901,PIT,play_type_pass,EMPTY,"0 RB, 1 TE, 4 WR",4.0,3.0,"3 DL, 3 LB, 5 DB",SCRAMBLE_ROLLOUT_RIGHT,IN,0,CLE,PIT,"[CLE , PIT]"
99,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 4 LB, 5 DB",TRADITIONAL,C,3,CLE,PIT,"[CLE , PIT]"
100,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 3 LB, 6 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
101,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 3 LB, 4 DB",SCRAMBLE,C,37,CLE,PIT,"[CLE , PIT]"
102,1,2018090901,PIT,play_type_sack,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,S,-4,CLE,PIT,"[CLE , PIT]"
103,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,13,CLE,PIT,"[CLE , PIT]"
104,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,2.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,3,CLE,PIT,"[CLE , PIT]"
105,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,3.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
106,1,2018090901,CLE,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",6.0,4.0,"2 DL, 4 LB, 5 DB",TRADITIONAL,C,33,CLE,PIT,"[CLE , PIT]"
107,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 4 LB, 5 DB",SCRAMBLE_ROLLOUT_RIGHT,I,0,CLE,PIT,"[CLE , PIT]"
108,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"2 DL, 3 LB, 6 DB",TRADITIONAL,C,1,CLE,PIT,"[CLE , PIT]"
109,1,2018090901,PIT,play_type_pass,I_FORM,"2 RB, 2 TE, 1 WR",8.0,4.0,"4 DL, 3 LB, 4 DB",TRADITIONAL,IN,0,CLE,PIT,"[CLE , PIT]"
110,1,2018090901,CLE,play_type_pass,SINGLEBACK,"1 RB, 1 TE, 3 WR",5.0,4.0,"2 DL, 4 LB, 5 DB",SCRAMBLE,C,12,CLE,PIT,"[CLE , PIT]"
111,1,2018090901,CLE,play_type_sack,SINGLEBACK,"1 RB, 2 TE, 2 WR",6.0,5.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,S,-7,CLE,PIT,"[CLE , PIT]"
112,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,11,CLE,PIT,"[CLE , PIT]"
113,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,15,CLE,PIT,"[CLE , PIT]"
114,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,8,CLE,PIT,"[CLE , PIT]"
115,1,2018090901,PIT,play_type_pass,EMPTY,"1 RB, 1 TE, 3 WR",4.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
116,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,IN,0,CLE,PIT,"[CLE , PIT]"
117,1,2018090901,CLE,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 3 LB, 6 DB",TRADITIONAL,S,-8,CLE,PIT,"[CLE , PIT]"
118,1,2018090901,CLE,play_type_sack,SINGLEBACK,"1 RB, 2 TE, 2 WR",6.0,7.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,S,-10,CLE,PIT,"[CLE , PIT]"
119,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,67,CLE,PIT,"[CLE , PIT]"
120,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,C,22,CLE,PIT,"[CLE , PIT]"
121,1,2018090901,CLE,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,4.0,"3 DL, 4 LB, 4 DB",SCRAMBLE_ROLLOUT_RIGHT,C,8,CLE,PIT,"[CLE , PIT]"
122,1,2018090901,CLE,play_type_pass,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,4.0,"3 DL, 4 LB, 4 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
123,1,2018090901,CLE,play_type_sack,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"2 DL, 3 LB, 6 DB",SCRAMBLE,S,-5,CLE,PIT,"[CLE , PIT]"
124,1,2018090901,CLE,play_type_pass,EMPTY,"1 RB, 2 TE, 2 WR",6.0,4.0,"2 DL, 4 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
125,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"2 DL, 3 LB, 6 DB",TRADITIONAL,C,39,CLE,PIT,"[CLE , PIT]"
126,1,2018090901,CLE,play_type_pass,WILDCAT,"1 RB, 1 TE, 3 WR",6.0,4.0,"2 DL, 4 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
127,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"2 DL, 4 LB, 5 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
128,1,2018090901,CLE,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"2 DL, 3 LB, 6 DB",TRADITIONAL,I,0,CLE,PIT,"[CLE , PIT]"
129,1,2018090901,PIT,play_type_pass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,6.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,C,6,CLE,PIT,"[CLE , PIT]"
