nflId,height,weight,birthDate,collegeName,position,displayName,team_role
2557978,73,233,1995-05-05,Pittsburgh,RB,James Conner,Offense
2558149,73,215,1996-11-22,Southern California,WR,JuJu Smith-Schuster,Offense
2539311,75,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins,Defense
2543637,71,190,1992-05-17,Oregon,CB,Terrance Mitchell,Defense
2552389,71,196,1992-08-29,Arizona State,CB,Damarious Randall,Defense
2555166,73,245,1993-11-06,Wisconsin,MLB,Joe Schobert,Defense
2555540,70,210,1993-12-15,Texas Christian,SS,Derrick Kindred,Defense
2556475,69,193,1993-01-21,Minnesota,CB,Briean Boddy-Calhoun,Defense
2560916,71,191,1997-04-28,Ohio State,CB,Denzel Ward,Defense
2560920,71,213,1996-04-02,Oklahoma State,WR,James Washington,Offense
2560964,72,250,1995-04-26,Memphis,LB,Genard Avery,Defense
496727,73,210,1989-01-13,Georgia Tech,SS,Morgan Burnett,Defense
496733,71,195,1989-04-14,Florida,CB,Joe Haden,Defense
2539978,73,245,1991-05-05,Florida,ILB,Jon Bostic,Defense
2540221,73,233,1989-12-27,Florida State,ILB,Vince Williams,Defense
2552289,76,269,1993-02-12,Kentucky,OLB,Bud Dupree,Defense
2555344,72,197,1995-05-01,Miami,CB,Artie Burns,Defense
2555386,73,202,1993-10-23,Maryland,SS,Sean Davis,Defense
2556559,69,184,1994-03-09,Mississippi,CB,Mike Hilton,Defense
2558064,76,252,1994-10-11,Wisconsin,OLB,T.J. Watt,Defense
2495240,73,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor,Offense
2537931,75,225,1991-04-13,Utah,WR,Josh Gordon,Offense
2540928,79,270,1986-04-22,California-Irvine,TE,Darren Fells,Offense
2543488,71,196,1992-11-28,Louisiana State,WR,Jarvis Landry,Offense
2543743,72,229,1990-09-20,Ohio State,RB,Carlos Hyde,Offense
2557986,76,246,1996-07-10,Miami,TE,David Njoku,Offense
2552461,69,210,1993-09-23,Miami,RB,Duke Johnson,Offense
2555468,73,198,1994-10-07,Colorado State,WR,Rashard Higgins,Offense
2560712,73,217,1997-01-20,Virginia Tech,S,Terrell Edmunds,Defense
2550235,71,248,1992-03-30,Kent State,FB,Roosevelt Nix,Offense
2550521,76,261,1992-09-22,Southern California,TE,Xavier Grimble,Offense
2543720,74,235,1992-08-31,Iowa,OLB,Christian Kirksey,Defense
2557980,71,213,1995-10-04,Michigan,FS,Jabrill Peppers,Defense
2560988,71,200,1997-01-09,Florida,WR,Antonio Callaway,Offense
2552266,75,255,1992-12-10,Miami,OLB,Anthony Chickillo,Defense
2561021,71,225,1995-12-27,Georgia,RB,Nick Chubb,Offense
2557960,68,185,1994-11-04,North Carolina,WR,Ryan Switzer,Offense
2558849,71,188,1995-02-27,Tennessee,CB,Cameron Sutton,Defense
2556365,75,245,1993-01-29,Princeton,TE,Seth DeValve,Offense
2550164,72,204,1990-07-28,Ohio,CB,T.J. Carrie,Defense
2561470,76,207,1994-10-17,Texas Tech,WR,Derrick Willies,Offense
2533060,74,190,1989-10-26,Alabama,CB,Dre Kirkpatrick,Defense
2543814,73,255,1992-10-27,Louisville,MLB,Preston Brown,Defense
2555355,72,205,1993-06-02,Illinois,FS,Clayton Fejedelem,Defense
2555528,74,235,1993-08-20,Utah State,OLB,Nick Vigil,Defense
2556367,72,196,1992-10-27,Houston,CB,William Jackson,Defense
2558801,75,242,1995-01-27,Oklahoma,OLB,Jordan Evans,Defense
2560970,73,200,1997-02-26,Wake Forest,S,Jessie Bates,Defense
2532865,70,183,1989-11-14,Florida International,WR,T.Y. Hilton,Offense
2533031,76,240,1989-09-12,Stanford,QB,Andrew Luck,Offense
2540232,78,262,1990-05-05,Western Kentucky,TE,Jack Doyle,Offense
2543466,76,253,1993-04-10,North Carolina,TE,Eric Ebron,Offense
2543759,72,194,1990-12-19,Tulane,WR,Ryan Grant,Offense
2560933,73,217,1994-07-18,Mississippi,RB,Jordan Wilkins,Offense
2543474,71,205,1991-10-10,Michigan State,CB,Darqueze Dennard,Defense
2556396,72,184,1994-01-12,Grambling State,WR,Chester Rogers,Offense
2558877,74,214,1994-12-18,Old Dominion,WR,Zach Pascal,Offense
2560742,69,198,1996-11-12,North Carolina State,RB,Nyheim Hines,Offense
2495143,74,220,1987-10-29,Texas Christian,QB,Andy Dalton,Offense
2495450,76,210,1988-07-31,Georgia,WR,A.J. Green,Offense
2540148,78,255,1990-09-08,Notre Dame,TE,Tyler Eifert,Offense
2540156,69,205,1991-11-22,North Carolina,HB,Giovani Bernard,Offense
2555466,74,203,1994-11-15,Pittsburgh,WR,Tyler Boyd,Offense
2558010,71,194,1995-11-27,Washington,WR,John Ross,Offense
2552386,74,216,1992-06-01,Central Florida,FS,Clayton Geathers,Defense
2556429,71,209,1992-07-15,Notre Dame,SS,Matthias Farley,Defense
2557961,74,193,1996-08-16,Florida,CB,Quincy Wilson,Defense
2558108,72,185,1994-06-30,Temple,CB,Nate Hairston,Defense
2558851,73,230,1995-08-08,Northwestern,ILB,Anthony Walker,Defense
2558976,69,190,1995-08-23,Valdosta State,CB,Kenny Moore II,Defense
2560789,74,230,1995-07-27,South Carolina State,LB,Darius Leonard,Defense
2552586,78,250,1992-10-15,Rutgers,TE,Tyler Kroft,Offense
2550405,76,255,1992-05-08,Miami,TE,Erik Swoope,Offense
2552559,78,260,1993-01-14,Auburn,TE,C.J. Uzomah,Offense
2557976,73,220,1996-07-24,Oklahoma,HB,Joe Mixon,Offense
2558060,73,212,1996-04-02,Ohio State,FS,Malik Hooker,Defense
2560816,74,225,1995-01-08,South Carolina,ILB,Skai Moore,Defense
2539233,72,210,1991-05-13,Georgia,SS,Shawn Williams,Defense
2561155,72,236,1996-07-02,Syracuse,ILB,Zaire Franklin,Defense
2558982,72,235,1994-01-05,Illinois,MLB,Hardy Nickerson,Defense
2556493,71,228,1992-10-24,Texas A&M,RB,Tra Carson,Offense
2533016,72,244,1989-06-04,West Virginia,OLB,Najee Goode,Defense
2558127,75,205,1996-03-21,Tennessee,WR,Josh Malone,Offense
2556519,72,195,1992-11-06,Wisconsin,WR,Alex Erickson,Offense
2354,72,233,1986-07-21,Kentucky,ILB,Wesley Woodyard,Defense
71423,76,257,1986-07-31,Texas,OLB,Brian Orakpo,Defense
2539320,72,214,1991-02-15,Texas,SS,Kenny Vaccaro,Defense
2540162,71,195,1991-02-09,Rutgers,CB,Logan Ryan,Defense
2550613,71,190,1990-03-02,West Alabama,CB,Malcolm Butler,Defense
2555158,71,212,1993-08-17,Middle Tennessee,FS,Kevin Byard,Defense
2555320,74,242,1993-07-08,UCLA,OLB,Aaron Wallace,Defense
2558005,72,226,1995-02-26,UCLA,ILB,Jayon Brown,Defense
2558065,71,185,1995-09-18,Southern California,CB,Adoree' Jackson,Defense
2649,71,185,1985-11-02,Texas Tech,WR,Danny Amendola,Offense
2532956,76,207,1988-07-27,Texas A&M,QB,Ryan Tannehill,Offense
2540202,73,202,1992-04-22,Oklahoma,WR,Kenny Stills,Offense
2555230,73,211,1994-01-26,Alabama,RB,Kenyan Drake,Offense
2556190,67,169,1992-10-30,Texas Tech,WR,Jakeem Grant,Offense
2560994,78,252,1995-10-03,Penn State,TE,Mike Gesicki,Offense
2495469,68,195,1990-09-27,Pittsburgh,RB,Dion Lewis,Offense
2495966,74,248,1984-08-12,Central Missouri State,TE,Delanie Walker,Offense
2532903,72,217,1989-10-12,Nevada,WR,Rishard Matthews,Offense
2552466,76,222,1993-10-30,Oregon,QB,Marcus Mariota,Offense
2555317,74,194,1994-12-23,Massachusetts,WR,Tajae Sharpe,Offense
2557848,75,209,1995-01-11,Western Michigan,WR,Corey Davis,Offense
496739,73,215,1988-02-25,Georgia,SS,Reshad Jones,Defense
2539309,74,215,1991-01-26,USC,SS,T.J. McDonald,Defense
2539935,75,239,1990-08-14,Oregon,OLB,Kiko Alonso,Defense
2552434,71,192,1993-08-18,Memphis,CB,Bobby McCain,Defense
2555539,73,200,1993-07-04,Baylor,CB,Xavien Howard,Defense
2558070,74,242,1995-11-17,Ohio State,LB,Raekwon McMillan,Defense
2560725,73,207,1996-11-17,Alabama,S,Minkah Fitzpatrick,Defense
2555339,75,241,1994-04-27,Boise State,ILB,Kamalei Correa,Defense
2561328,76,250,1995-10-01,Temple,OLB,Sharif Finch,Defense
2552580,77,240,1991-09-20,Arkansas,TE,A.J. Derby,Offense
2550272,69,195,1992-07-12,Georgia State,WR,Albert Wilson,Offense
496828,76,261,1989-01-06,Georgia Tech,OLB,Derrick Morgan,Defense
2541539,71,225,1990-11-27,Auburn,ILB,Daren Bates,Defense
2555551,72,203,1993-09-18,Southern Utah,CB,LeShaun Sims,Defense
2506404,69,212,1983-05-14,Miami,RB,Frank Gore,Offense
2540013,73,235,1989-09-19,Nebraska,ILB,Will Compton,Defense
2560880,78,260,1995-08-09,Notre Dame,TE,Durham Smythe,Offense
2556075,75,247,1994-01-04,Alabama,RB,Derrick Henry,Offense
2558207,75,248,1995-08-22,Florida International,TE,Jonnu Smith,Offense
2495441,77,235,1989-10-15,Missouri,QB,Blaine Gabbert,Offense
2557870,71,205,1995-03-02,Western Kentucky,WR,Taywan Taylor,Offense
2495234,77,253,1988-07-17,Tennessee,TE,Luke Stocker,Offense
2560966,74,225,1996-12-25,Ohio State,LB,Jerome Baker,Defense
2559043,75,246,1993-08-29,Southern Illinois,OLB,Chase Allen,Defense
2553896,70,180,1992-06-28,Virginia,WR,Darius Jennings,Offense
2559053,71,188,1995-04-10,Nevada-Las Vegas,CB,Torry McTyer,Defense
496735,70,185,1988-04-10,Alabama,CB,Kareem Jackson,Defense
2495872,71,185,1984-04-16,South Carolina,CB,Johnathan Joseph,Defense
2533049,76,258,1990-07-21,Illinois,OLB,Whitney Mercilus,Defense
2540180,69,190,1992-05-13,Louisiana State,FS,Tyrann Mathieu,Defense
2543501,72,191,1991-10-02,Oklahoma,CB,Aaron Colvin,Defense
2552261,72,185,1992-08-05,Wake Forest,CB,Kevin Johnson,Defense
2558094,75,238,1994-12-02,Vanderbilt,ILB,Zach Cunningham,Defense
2560851,73,204,1997-02-15,Stanford,SS,Justin Reid,Defense
497240,78,265,1989-05-14,Arizona,TE,Rob Gronkowski,Offense
2504211,76,225,1977-08-03,Michigan,QB,Tom Brady,Offense
2530515,73,210,1987-10-24,"Monmouth, N.J.",WR,Chris Hogan,Offense
2539265,70,215,1990-07-02,Nebraska,RB,Rex Burkhead,Offense
2543773,70,205,1992-02-03,Wisconsin,RB,James White,Offense
2552424,70,192,1993-01-05,Miami,WR,Phillip Dorsett,Offense
2552490,76,257,1992-11-19,Mississippi State,ILB,Benardrick McKinney,Defense
2533046,76,260,1990-02-24,Clemson,TE,Dwayne Allen,Offense
2533034,70,221,1991-04-25,Miami,RB,Lamar Miller,Offense
2540165,73,212,1992-06-06,Clemson,WR,DeAndre Hopkins,Offense
2543646,69,200,1991-08-22,South Carolina,WR,Bruce Ellington,Offense
2558063,74,221,1995-09-14,Clemson,QB,Deshaun Watson,Offense
2560896,77,277,1996-08-02,Mississippi State,TE,Jordan Thomas,Offense
2561427,75,202,1996-06-09,Limestone,WR,Vyncint Smith,Offense
71251,71,215,1987-08-19,Oregon,SS,Patrick Chung,Defense
494287,70,195,1987-08-13,Rutgers,FS,Devin McCourty,Defense
2533057,75,260,1990-03-12,Alabama,MLB,Dont'a Hightower,Defense
2533062,73,202,1990-09-19,South Carolina,CB,Stephon Gilmore,Defense
2552255,73,205,1992-10-03,Utah,CB,Eric Rowe,Defense
2556119,72,238,1994-04-22,Houston,MLB,Elandon Roberts,Defense
2556571,70,190,1993-09-20,Auburn,CB,Jonathan Jones,Defense
2560951,76,243,1992-04-19,Central Florida,TE,Jordan Akins,Offense
2541243,73,205,1991-01-24,Rutgers,FS,Duron Harmon,Defense
2543699,75,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy,Defense
2541316,78,255,1990-01-11,Connecticut,TE,Ryan Griffin,Offense
2561143,74,255,1996-08-24,Purdue,LB,Ja'Whaun Bentley,Defense
2559211,69,198,1993-06-16,Iowa,WR,Riley McCarron,Offense
2508101,75,255,1988-07-23,Brown,FB,James Develin,Offense
2543603,73,230,1992-10-20,LSU,RB,Jeremy Hill,Offense
2552470,73,210,1993-03-31,Auburn,WR,Sammie Coates,Offense
2559152,72,237,1994-05-19,Missouri State,ILB,Dylan Cole,Defense
2555234,70,185,1993-10-07,San Jose State,RB,Tyler Ervin,Offense
2540145,74,238,1991-03-17,Tennessee,WR,Cordarrelle Patterson,Offense
2543600,74,225,1991-04-27,LSU,RB,Alfred Blue,Offense
89756,71,195,1987-08-13,Rutgers,CB,Jason McCourty,Defense
2506581,74,228,1982-11-24,Harvard,QB,Ryan Fitzpatrick,Offense
2543468,77,231,1993-08-21,Texas A&M,WR,Mike Evans,Offense
2550656,77,245,1991-07-03,Harvard,TE,Cameron Brate,Offense
2556466,71,225,1994-02-27,Auburn,RB,Peyton Barber,Offense
2557856,78,250,1994-11-18,Alabama,TE,O.J. Howard,Offense
2558105,73,209,1996-02-27,Penn State,WR,Chris Godwin,Offense
494261,71,208,1988-04-01,Ohio State,SS,Kurt Coleman,Defense
2533008,74,248,1989-01-11,Arkansas State,ILB,Demario Davis,Defense
2555530,71,205,1994-12-12,Ohio State,FS,Vonn Bell,Defense
2556735,73,180,1993-02-08,Colorado,CB,Ken Crawley,Defense
2558061,72,192,1996-05-20,Ohio State,CB,Marshon Lattimore,Defense
2558163,75,240,1994-09-22,Florida,OLB,Alex Anzalone,Defense
2558847,73,195,1996-09-08,Utah,FS,Marcus Williams,Defense
2495471,66,205,1990-02-06,Oregon State,RB,Jacquizz Rodgers,Offense
2553895,71,195,1993-06-24,Clemson,WR,Adam Humphries,Offense
2508084,71,191,1987-09-07,Florida State,CB,Patrick Robinson,Defense
1581,70,175,1986-12-01,California,WR,DeSean Jackson,Offense
2495272,74,203,1989-02-23,California,SS,Chris Conte,Defense
2532828,73,233,1990-01-23,Nebraska,OLB,Lavonte David,Defense
2550565,72,230,1990-09-21,Florida Atlantic,MLB,Adarius Taylor,Defense
2552592,73,227,1994-08-03,Louisiana State,MLB,Kwon Alexander,Defense
2555299,70,204,1995-06-03,Florida,CB,Vernon Hargreaves III,Defense
2557945,72,199,1995-08-26,Texas A&M,SS,Justin Evans,Defense
2560884,71,205,1995-09-16,North Carolina,CB,M.J. Stewart,Defense
2504775,72,209,1979-01-15,Purdue,QB,Drew Brees,Offense
2539303,73,233,1990-04-26,Southern Methodist,FB,Zach Line,Offense
2541834,77,250,1990-05-21,Idaho State,TE,Josh Hill,Offense
2556370,75,212,1993-03-03,Ohio State,WR,Michael Thomas,Offense
2558019,70,215,1995-07-25,Tennessee,RB,Alvin Kamara,Offense
2560878,74,210,1996-01-07,Central Florida,WR,Tre'Quan Smith,Offense
2555552,71,190,1993-09-07,North Carolina Central,CB,Ryan Smith,Defense
2506122,75,255,1980-12-18,Georgia,TE,Benjamin Watson,Offense
2507166,71,180,1985-04-12,Ohio State,WR,Ted Ginn,Offense
2558928,73,195,1993-12-25,Northwestern,WR,Austin Carr,Offense
2561039,73,206,1996-12-31,Auburn,CB,Carlton Davis,Defense
2550223,72,195,1991-09-07,North Greenville,WR,Freddie Martino,Offense
2556508,73,235,1993-07-02,Memphis,TE,Alan Cross,Offense
2559044,78,256,1993-05-28,"Laval, Can.",TE,Antony Auclair,Offense
2539277,73,241,1991-01-26,Notre Dame,MLB,Manti Te'o,Defense
2539982,73,240,1991-07-30,Iowa State,OLB,A.J. Klein,Defense
2556752,67,168,1992-10-24,Northern Illinois,WR,Tommylee Lewis,Offense
2539663,61,210,1990-11-01,Florida,RB,Mike Gillislee,Offense
2555227,72,217,1994-02-02,Arkansas,RB,Jonathan Williams,Offense
2495211,73,242,1989-08-09,Nebraska,TE,Niles Paul,Offense
2543477,77,236,1992-04-28,Central Florida,QB,Blake Bortles,Offense
2543683,77,262,1992-09-29,Washington,TE,Austin Seferian-Jenkins,Offense
2553318,76,245,1992-01-14,Illinois State,TE,James O'Shaughnessy,Offense
2557973,72,228,1995-01-18,Louisiana State,RB,Leonard Fournette,Offense
2561018,76,198,1996-09-23,Louisiana State,WR,D.J. Chark,Offense
71197,76,255,1986-10-15,Cincinnati,OLB,Connor Barwin,Defense
2532875,70,190,1988-10-29,North Alabama,CB,Janoris Jenkins,Defense
2540143,75,250,1991-09-25,Georgia,LB,Alec Ogletree,Defense
2543738,78,262,1992-02-19,North Carolina,OLB,Kareem Martin,Defense
2552454,72,218,1994-01-10,Alabama,SS,Landon Collins,Defense
2555277,73,203,1995-08-09,Ohio State,CB,Eli Apple,Defense
2555522,73,242,1993-05-29,Clemson,ILB,B.J. Goodson,Defense
2543614,74,215,1993-08-06,Mississippi,WR,Donte Moncrief,Offense
2552471,73,223,1993-10-02,Alabama,RB,T.J. Yeldon,Offense
2557895,72,176,1993-11-21,Oklahoma,WR,Dede Westbrook,Offense
2559153,73,194,1993-04-20,Kentucky Wesleyan,WR,Keelan Cole,Offense
2539338,71,190,1990-05-03,William & Mary,CB,B.W. Webb,Defense
2541792,75,220,1991-03-05,Miami,OLB,Ray-Ray Armstrong,Defense
2553822,72,190,1992-07-18,Fresno State,FS,Curtis Riley,Defense
2561015,77,250,1995-12-10,Georgia,OLB,Lorenzo Carter,Defense
2535687,71,195,1990-03-17,Stanford,SS,Michael Thomas,Defense
494259,74,218,1988-02-11,Toledo,SS,Barry Church,Defense
2532848,73,212,1990-08-07,Wyoming,FS,Tashaun Gipson,Defense
2539237,71,190,1990-06-27,Houston,CB,D.J. Hayden,Defense
2539662,75,249,1990-08-26,Florida,DE,Lerentee McCray,Defense
2541162,72,191,1991-08-16,Central Florida,CB,A.J. Bouye,Defense
2543711,75,215,1991-04-11,Florida State,OLB,Telvin Smith,Defense
2555280,73,208,1994-10-24,Florida State,CB,Jalen Ramsey,Defense
2555329,73,244,1995-09-03,UCLA,OLB,Myles Jack,Defense
2505996,77,218,1981-01-03,Mississippi,QB,Eli Manning,Offense
2543496,71,198,1992-11-05,Louisiana State,WR,Odell Beckham Jr.,Offense
2543590,75,222,1992-10-10,Indiana,WR,Cody Latimer,Offense
2555295,70,201,1993-02-10,Oklahoma,WR,Sterling Shepard,Offense
2557858,75,240,1994-09-02,Mississippi,TE,Evan Engram,Offense
2557952,72,210,1994-10-01,Clemson,RB,Wayne Gallman,Offense
2532835,77,255,1988-10-03,USC,TE,Rhett Ellison,Offense
2540225,73,246,1990-09-10,Wake Forest,FB,Tommy Bohanon,Offense
2560968,72,233,1997-02-09,Penn State,RB,Saquon Barkley,Offense
2560758,74,245,1995-10-03,Wisconsin,LB,Leon Jacobs,Defense
2550599,77,255,1992-04-13,Assumption,TE,Scott Simonson,Offense
2561008,75,214,1997-04-18,Alabama,DB,Ronnie Harrison,Defense
949,61,245,1987-03-21,Oregon,RB,Jonathan Stewart,Offense
2559254,73,240,1993-08-21,San Jose State,FB,Shane Smith,Offense
2553650,61,203,1991-12-19,Auburn,RB,Corey Grant,Offense
2556711,74,210,1994-02-09,Michigan,SS,Jarrod Wilson,Defense
2506340,76,213,1984-05-07,Utah,QB,Alex Smith,Offense
2540011,68,195,1990-10-20,Florida State,RB,Chris Thompson,Offense
2540160,74,242,1990-07-03,Florida,TE,Jordan Reed,Offense
2543491,72,180,1992-04-13,Colorado,WR,Paul Richardson,Offense
2552415,69,177,1993-06-17,Duke,WR,Jamison Crowder,Offense
2555343,74,205,1992-12-03,Texas Christian,WR,Josh Doctson,Offense
2495504,73,203,1990-07-11,Louisiana State,CB,Patrick Peterson,Defense
2495807,71,201,1984-07-27,Howard,FS,Antoine Bethea,Defense
2539932,71,192,1990-09-29,Boise State,CB,Jamar Taylor,Defense
2543769,73,211,1992-08-30,Washington State,ILB,Deone Bucannon,Defense
2543830,73,205,1992-06-25,North Carolina,FS,Tre Boston,Defense
2557887,73,235,1994-09-22,Temple,ILB,Haason Reddick,Defense
2558009,70,195,1996-01-10,Washington,FS,Budda Baker,Defense
2507164,73,220,1985-03-21,Oklahoma,RB,Adrian Peterson,Offense
2530491,73,235,1989-08-24,Auburn,ILB,Josh Bynes,Defense
2495826,75,248,1984-01-31,Maryland,TE,Vernon Davis,Offense
